Datetime,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,TR,ATR,Signal,Position,Capital,Shares_Held
2023-10-02 09:15:00,87100.0,87100.0,86800.0,86900.0,70002,,,300.0,,0,,100000000,0
2023-10-02 09:30:00,86800.0,87000.0,86700.0,86700.0,61700,,,300.0,,0,0.0,100000000,0
2023-10-02 09:45:00,86700.0,86800.0,86600.0,86800.0,43002,,,200.0,,0,0.0,100000000,0
2023-10-02 10:00:00,86800.0,86900.0,86700.0,86800.0,40901,,,200.0,,0,0.0,100000000,0
2023-10-02 10:15:00,86800.0,86900.0,86700.0,86900.0,32901,,,200.0,,0,0.0,100000000,0
2023-10-02 10:30:00,86900.0,86900.0,86800.0,86800.0,43601,,,100.0,,0,0.0,100000000,0
2023-10-02 10:45:00,86800.0,86800.0,86800.0,86800.0,21002,,,0.0,,0,0.0,100000000,0
2023-10-02 11:00:00,86800.0,86900.0,86700.0,86900.0,10401,,,200.0,,0,0.0,100000000,0
2023-10-02 11:15:00,86900.0,86900.0,86800.0,86900.0,10000,,,100.0,,0,0.0,100000000,0
2023-10-02 13:00:00,87000.0,87100.0,86900.0,87000.0,17406,,,200.0,,0,0.0,100000000,0
2023-10-02 13:15:00,86900.0,86900.0,86800.0,86800.0,83900,,,100.0,,0,0.0,100000000,0
2023-10-02 13:30:00,86700.0,86800.0,86700.0,86700.0,58100,,,100.0,,0,0.0,100000000,0
2023-10-02 13:45:00,86700.0,86800.0,86600.0,86700.0,44700,,,200.0,,0,0.0,100000000,0
2023-10-02 14:00:00,86700.0,86800.0,86600.0,86700.0,34400,,,200.0,171.42857142857142,0,0.0,100000000,0
2023-10-02 14:15:00,86700.0,86800.0,86500.0,86800.0,133400,,,300.0,171.42857142857142,0,0.0,100000000,0
2023-10-02 14:45:00,86500.0,86500.0,86500.0,86500.0,53684,,,0.0,150.0,0,0.0,100000000,0
2023-10-03 09:15:00,86500.0,86500.0,86100.0,86400.0,29500,,,400.0,164.28571428571428,0,0.0,100000000,0
2023-10-03 09:30:00,86400.0,86700.0,86200.0,86700.0,34100,,,500.0,185.71428571428572,0,0.0,100000000,0
2023-10-03 09:45:00,86200.0,86600.0,86200.0,86600.0,7200,,,400.0,200.0,0,0.0,100000000,0
2023-10-03 10:00:00,86700.0,86700.0,86400.0,86400.0,50700,,,300.0,214.28571428571428,0,0.0,100000000,0
2023-10-03 10:15:00,86400.0,86500.0,86400.0,86400.0,2500,,,100.0,221.42857142857142,0,0.0,100000000,0
2023-10-03 10:30:00,86300.0,86300.0,86200.0,86300.0,56900,,,100.0,214.28571428571428,0,0.0,100000000,0
2023-10-03 10:45:00,86300.0,86300.0,86100.0,86100.0,29400,,,200.0,221.42857142857142,0,0.0,100000000,0
2023-10-03 11:00:00,86200.0,86300.0,86100.0,86100.0,27100,,,200.0,221.42857142857142,0,0.0,100000000,0
2023-10-03 11:15:00,86100.0,86400.0,86000.0,86300.0,47300,,,400.0,242.85714285714286,0,0.0,100000000,0
2023-10-03 13:00:00,86200.0,86500.0,86100.0,86300.0,101200,,,400.0,264.2857142857143,0,0.0,100000000,0
2023-10-03 13:15:00,86200.0,86300.0,86000.0,86100.0,107400,,,300.0,271.42857142857144,0,0.0,100000000,0
2023-10-03 13:30:00,86100.0,86500.0,86100.0,86200.0,45500,,,400.0,285.7142857142857,0,0.0,100000000,0
2023-10-03 13:45:00,86100.0,86400.0,86100.0,86300.0,109500,,,300.0,285.7142857142857,0,0.0,100000000,0
2023-10-03 14:00:00,86300.0,86400.0,86100.0,86300.0,105400,,,300.0,307.14285714285717,0,0.0,100000000,0
2023-10-03 14:15:00,86200.0,86200.0,85800.0,85900.0,208400,,,400.0,307.14285714285717,0,0.0,100000000,0
2023-10-03 14:45:00,86300.0,86300.0,86300.0,86300.0,52900,,,0.0,271.42857142857144,0,0.0,100000000,0
2023-10-04 09:15:00,86300.0,86300.0,85300.0,85300.0,50600,,,1000.0,314.2857142857143,0,0.0,100000000,0
2023-10-04 09:30:00,85400.0,85500.0,85300.0,85400.0,28500,,,200.0,307.14285714285717,0,0.0,100000000,0
2023-10-04 09:45:00,85400.0,85700.0,85400.0,85600.0,8300,,,300.0,321.42857142857144,0,0.0,100000000,0
2023-10-04 10:00:00,85600.0,85700.0,85600.0,85700.0,4700,,,100.0,321.42857142857144,0,0.0,100000000,0
2023-10-04 10:15:00,85700.0,86000.0,85700.0,86000.0,70700,,,300.0,328.57142857142856,0,0.0,100000000,0
2023-10-04 10:30:00,85900.0,86200.0,85900.0,86000.0,22100,,,300.0,335.7142857142857,0,0.0,100000000,0
2023-10-04 10:45:00,85900.0,85900.0,85800.0,85800.0,15200,,,100.0,314.2857142857143,0,0.0,100000000,0
2023-10-04 11:00:00,85800.0,85800.0,85400.0,85600.0,46800,,,400.0,314.2857142857143,0,0.0,100000000,0
2023-10-04 11:15:00,85700.0,85800.0,85500.0,85700.0,24900,,,300.0,314.2857142857143,0,0.0,100000000,0
2023-10-04 13:00:00,85700.0,85700.0,85500.0,85600.0,62800,,,200.0,300.0,0,0.0,100000000,0
2023-10-04 13:15:00,85500.0,85600.0,85400.0,85600.0,59100,,,200.0,292.85714285714283,0,0.0,100000000,0
2023-10-04 13:30:00,85500.0,85700.0,85500.0,85700.0,45800,,,200.0,285.7142857142857,0,0.0,100000000,0
2023-10-04 13:45:00,85700.0,85700.0,85600.0,85700.0,48900,,,100.0,264.2857142857143,0,0.0,100000000,0
2023-10-04 14:00:00,85700.0,85800.0,85600.0,85800.0,117400,,,200.0,278.57142857142856,0,0.0,100000000,0
2023-10-04 14:15:00,85800.0,86200.0,85500.0,86200.0,199400,,,700.0,257.14285714285717,0,0.0,100000000,0
2023-10-04 14:45:00,86300.0,86300.0,86300.0,86300.0,0,,,0.0,242.85714285714286,0,0.0,100000000,0
2023-10-05 09:15:00,86000.0,86000.0,85100.0,85200.0,82000,,,900.0,285.7142857142857,0,0.0,100000000,0
2023-10-05 09:30:00,85300.0,85800.0,85300.0,85700.0,16200,86246.0,,500.0,314.2857142857143,0,0.0,100000000,0
2023-10-05 09:45:00,85700.0,85800.0,85500.0,85500.0,18900,86218.0,,300.0,314.2857142857143,0,0.0,100000000,0
2023-10-05 10:00:00,85500.0,85900.0,85500.0,85800.0,28000,86200.0,,400.0,321.42857142857144,0,0.0,100000000,0
2023-10-05 10:15:00,85600.0,85600.0,85400.0,85400.0,19300,86172.0,,200.0,328.57142857142856,0,0.0,100000000,0
2023-10-05 10:30:00,85400.0,85500.0,85400.0,85400.0,27300,86144.0,,100.0,307.14285714285717,0,0.0,100000000,0
2023-10-05 10:45:00,85400.0,85500.0,85300.0,85400.0,31700,86114.0,,200.0,300.0,0,0.0,100000000,0
2023-10-05 11:00:00,85400.0,85500.0,85400.0,85400.0,3500,86086.0,,100.0,292.85714285714283,0,0.0,100000000,0
2023-10-05 11:15:00,85400.0,85500.0,85400.0,85400.0,10500,86058.0,,100.0,285.7142857142857,0,0.0,100000000,0
2023-10-05 13:00:00,85400.0,85500.0,85300.0,85300.0,12100,86026.0,,200.0,285.7142857142857,0,0.0,100000000,0
