,Timestamp,Open,High,Low,Close,Volume,Date_time,MA_Fast,MA_Slow,ATR,TP,SL,CurTime
0,1705120200000,1.0916,1.0917,1.0916,1.0917,40853.7,2024-01-13 04:30:00,,,,,,17
1,1705121100000,1.0916,1.0917,1.0914,1.0914,44789.5,2024-01-13 04:45:00,,,,,,17
2,1705122000000,1.0914,1.0916,1.0914,1.0916,56090.8,2024-01-13 05:00:00,,,,,,17
3,1705122900000,1.0916,1.0916,1.0912,1.0912,51648.2,2024-01-13 05:15:00,,,,,,17
4,1705123800000,1.0912,1.0913,1.0911,1.0912,35584.9,2024-01-13 05:30:00,,,,,,17
5,1705124700000,1.0912,1.0912,1.0909,1.091,44335.5,2024-01-13 05:45:00,,,,,,17
6,1705125600000,1.0911,1.0911,1.0908,1.091,48826.7,2024-01-13 06:00:00,,,,,,17
7,1705126500000,1.091,1.091,1.0909,1.0909,79921.8,2024-01-13 06:15:00,,,,,,17
8,1705127400000,1.091,1.091,1.0909,1.0909,49875.7,2024-01-13 06:30:00,,,,,,17
9,1705128300000,1.091,1.091,1.0909,1.0909,76264.6,2024-01-13 06:45:00,,,,,,17
10,1705129200000,1.0909,1.0909,1.0901,1.0901,99841.4,2024-01-13 07:00:00,,,,,,17
11,1705130100000,1.0901,1.0902,1.09,1.0901,86963.0,2024-01-13 07:15:00,,,,,,17
12,1705131000000,1.0901,1.0901,1.0898,1.0898,66588.7,2024-01-13 07:30:00,,,,,,17
13,1705131900000,1.0898,1.0899,1.0895,1.0896,177979.1,2024-01-13 07:45:00,,,0.0002714285714285574,0.00021714285714284593,0.00010857142857142297,17
14,1705132800000,1.0896,1.0898,1.0896,1.0897,80273.7,2024-01-13 08:00:00,,,0.0002785714285714296,0.0002228571428571437,0.00011142857142857185,17
15,1705133700000,1.0897,1.0898,1.0896,1.0896,78674.5,2024-01-13 08:15:00,,,0.0002714285714285891,0.0002171428571428713,0.00010857142857143565,17
16,1705134600000,1.0896,1.0896,1.0892,1.0894,256983.2,2024-01-13 08:30:00,,,0.00028571428571430184,0.00022857142857144147,0.00011428571428572073,17
17,1705135500000,1.0894,1.0895,1.0893,1.0895,69164.9,2024-01-13 08:45:00,,,0.0002714285714285891,0.0002171428571428713,0.00010857142857143565,17
18,1705136400000,1.0894,1.0895,1.0893,1.0894,121219.6,2024-01-13 09:00:00,,,0.0002714285714285891,0.0002171428571428713,0.00010857142857143565,17
