,Ban,Pick,Ban rate,Pick rate,Win,Win rate,Counter,Countered by
Wonder-Woman,2.0,5.0,0.017857142857142856,0.036231884057971016,4.0,0.8,,
Wiro,0.0,0.0,0.0,0.0,0.0,,,
Wisp,0.0,2.0,0.0,0.014492753623188406,1.0,0.5,,
Wukong,0.0,1.0,0.0,0.007246376811594203,1.0,1.0,,
Xeniel,2.0,2.0,0.017857142857142856,0.014492753623188406,0.0,0.0,,
Yan,0.0,3.0,0.0,0.021739130434782608,1.0,0.3333333333333333,,
Yena,1.0,4.0,0.008928571428571428,0.028985507246376812,3.0,0.75,,
Yorn,0.0,0.0,0.0,0.0,0.0,,,
Yue,3.0,0.0,0.026785714285714284,0.0,0.0,,,
Y'bneth,4.0,4.0,0.03571428571428571,0.028985507246376812,1.0,0.25,,
Zanis,0.0,0.0,0.0,0.0,0.0,,,
Zata,1.0,1.0,0.008928571428571428,0.007246376811594203,0.0,0.0,,
Zephys,0.0,0.0,0.0,0.0,0.0,,,
Zip,0.0,0.0,0.0,0.0,0.0,,,
Zill,2.0,3.0,0.017857142857142856,0.021739130434782608,2.0,0.6666666666666666,,
Zuka,0.0,1.0,0.0,0.007246376811594203,1.0,1.0,,
Total,112.0,138.0,1.0,1.0,70.0,0.5072463768115942,0.0,0.0
