,Ban,Pick,Ban rate,Pick rate,Win,Win rate,Counter,Countered by
Yena,6.0,6.0,3.95,3.16,2.0,33.33,,
Yorn,0.0,0.0,0.0,0.0,0.0,,,
Yue,0.0,4.0,0.0,2.11,0.0,0.0,,
Y'bneth,3.0,7.0,1.97,3.68,3.0,42.86,,
Zanis,0.0,1.0,0.0,0.53,0.0,0.0,,
Zata,0.0,2.0,0.0,1.05,1.0,50.0,,
Zephys,0.0,0.0,0.0,0.0,0.0,,,
Zip,0.0,0.0,0.0,0.0,0.0,,,
Zill,0.0,1.0,0.0,0.53,0.0,0.0,,
Zuka,1.0,2.0,0.66,1.05,1.0,50.0,,
Total,152.0,190.0,100.0,100.0,95.0,50.0,0.0,0.0
