,Datetime,Open,High,Low,Close,Volume
0,2023-12-18 00:00:00,2196.53,2204.59,2193.97,2196.72,3656.655
1,2023-12-18 00:15:00,2196.72,2204.4,2193.8,2200.82,3428.2774
2,2023-12-18 00:30:00,2200.81,2203.03,2197.79,2198.78,2164.2035
3,2023-12-18 00:45:00,2198.77,2198.85,2191.9,2193.65,1892.909
4,2023-12-18 01:00:00,2193.64,2198.99,2186.72,2198.98,3330.9403
5,2023-12-18 01:15:00,2198.99,2198.99,2188.51,2190.6,1630.8933
6,2023-12-18 01:30:00,2190.59,2191.13,2170.79,2174.72,11526.0513
7,2023-12-18 01:45:00,2174.72,2181.64,2170.04,2170.27,6950.5664
8,2023-12-18 02:00:00,2170.27,2179.12,2169.01,2178.1,4768.8557
9,2023-12-18 02:15:00,2178.11,2179.83,2170.6,2172.93,2532.6721
10,2023-12-18 02:30:00,2172.94,2174.59,2163.57,2169.78,4298.4602
11,2023-12-18 02:45:00,2169.77,2173.2,2161.78,2166.4,3721.213
12,2023-12-18 03:00:00,2166.41,2172.79,2164.6,2168.4,4440.6282
13,2023-12-18 03:15:00,2168.39,2172.17,2167.81,2171.41,1552.8963
14,2023-12-18 03:30:00,2171.4,2173.6,2168.59,2173.07,2852.5531
15,2023-12-18 03:45:00,2173.06,2175.78,2170.79,2174.8,1718.2347
16,2023-12-18 04:00:00,2174.8,2176.04,2172.39,2175.1,3476.2488
17,2023-12-18 04:15:00,2175.1,2179.16,2175.1,2178.53,1790.1627
18,2023-12-18 04:30:00,2178.53,2178.87,2174.59,2175.72,2158.6763
19,2023-12-18 04:45:00,2175.72,2175.73,2172.79,2174.66,1403.607
20,2023-12-18 05:00:00,2174.65,2174.83,2170.5,2170.51,2203.6573
21,2023-12-18 05:15:00,2170.51,2174.35,2169.53,2173.67,1791.9502
22,2023-12-18 05:30:00,2173.68,2174.23,2166.93,2167.0,2151.6361
23,2023-12-18 05:45:00,2166.99,2169.1,2165.21,2166.63,2167.0072
24,2023-12-18 06:00:00,2166.62,2169.0,2166.01,2166.74,2201.4254
25,2023-12-18 06:15:00,2166.75,2176.77,2165.1,2176.01,3691.5339
26,2023-12-18 06:30:00,2176.0,2176.77,2174.04,2174.7,2309.4453
27,2023-12-18 06:45:00,2174.71,2182.14,2173.67,2180.19,4446.8633
28,2023-12-18 07:00:00,2180.19,2182.45,2177.37,2182.45,2165.9712
29,2023-12-18 07:15:00,2182.44,2183.2,2180.9,2181.32,1945.2825
30,2023-12-18 07:30:00,2181.32,2184.56,2175.01,2175.28,2914.0926
31,2023-12-18 07:45:00,2175.28,2175.8,2166.75,2169.19,4075.3275
32,2023-12-18 08:00:00,2169.19,2172.29,2160.0,2162.99,5274.3989
33,2023-12-18 08:15:00,2162.99,2175.95,2160.8,2175.35,4419.2242
34,2023-12-18 08:30:00,2175.36,2177.77,2173.95,2177.35,1314.2078
35,2023-12-18 08:45:00,2177.35,2178.0,2171.57,2172.14,1839.8002
36,2023-12-18 09:00:00,2172.15,2172.53,2161.35,2161.36,3451.3589
37,2023-12-18 09:15:00,2161.36,2163.95,2147.0,2150.44,12825.0351
38,2023-12-18 09:30:00,2150.44,2164.72,2148.3,2163.2,4781.8051
39,2023-12-18 09:45:00,2163.19,2165.63,2157.39,2158.69,2989.8624
40,2023-12-18 10:00:00,2158.7,2159.16,2145.2,2149.11,5045.4767
41,2023-12-18 10:15:00,2149.11,2153.05,2121.32,2128.87,17306.1356
42,2023-12-18 10:30:00,2128.88,2134.61,2116.6,2134.61,17577.7334
43,2023-12-18 10:45:00,2134.61,2136.91,2129.48,2136.41,4765.988
44,2023-12-18 11:00:00,2136.41,2147.67,2132.46,2147.55,5597.8982
45,2023-12-18 11:15:00,2147.55,2147.9,2138.05,2139.38,3938.7741
46,2023-12-18 11:30:00,2139.38,2139.39,2132.37,2133.42,3428.5781
47,2023-12-18 11:45:00,2133.42,2142.45,2129.97,2142.19,5977.6109
48,2023-12-18 12:00:00,2142.19,2143.53,2138.38,2139.11,2546.907
49,2023-12-18 12:15:00,2139.12,2141.07,2134.28,2140.87,2456.6657
50,2023-12-18 12:30:00,2140.88,2141.36,2133.04,2135.27,2598.8464
51,2023-12-18 12:45:00,2135.27,2135.27,2128.18,2128.19,3134.721
52,2023-12-18 13:00:00,2128.19,2137.55,2127.4,2134.44,3434.2774
53,2023-12-18 13:15:00,2134.45,2145.41,2134.44,2142.36,6741.9538
54,2023-12-18 13:30:00,2142.37,2151.6,2142.36,2149.23,5415.6467
