,Datetime,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,prev_close,high_low,high_close,low_close,TR,ATR,Buy_Signal,Sell_Signal
0,2024-01-04 00:00:00,42845.23,42845.23,42798.06,42808.27,39.83624,,,,47.17000000000553,,,47.17000000000553,,False,False
1,2024-01-04 00:01:00,42808.26,42851.68,42808.26,42833.08,39.47362,,,42808.27,43.419999999998254,43.41000000000349,0.00999999999476131,43.419999999998254,,False,False
2,2024-01-04 00:02:00,42833.08,42856.23,42810.0,42856.23,41.82439,,,42833.08,46.2300000000032,23.150000000001455,23.080000000001746,46.2300000000032,,False,False
3,2024-01-04 00:03:00,42856.23,42861.19,42819.88,42819.88,48.4605,,,42856.23,41.31000000000495,4.959999999999127,36.35000000000582,41.31000000000495,,False,False
4,2024-01-04 00:04:00,42819.89,42824.0,42803.49,42821.08,35.28746,,,42819.88,20.510000000002037,4.120000000002619,16.389999999999418,20.510000000002037,,False,False
5,2024-01-04 00:05:00,42821.08,42862.0,42811.94,42812.3,38.71692,,,42821.08,50.05999999999767,40.919999999998254,9.139999999999418,50.05999999999767,,False,False
6,2024-01-04 00:06:00,42812.31,42829.87,42754.0,42765.33,79.56427,,,42812.3,75.87000000000262,17.56999999999971,58.30000000000291,75.87000000000262,,False,False
7,2024-01-04 00:07:00,42765.32,42840.13,42757.78,42840.12,122.38505,,,42765.33,82.34999999999854,74.79999999999563,7.55000000000291,82.34999999999854,,False,False
8,2024-01-04 00:08:00,42840.12,42870.27,42840.12,42862.01,40.81656,,,42840.12,30.14999999999418,30.14999999999418,0.0,30.14999999999418,,False,False
9,2024-01-04 00:09:00,42862.01,42894.0,42862.0,42884.98,71.19901,,,42862.01,32.0,31.989999999997963,0.010000000002037268,32.0,,False,False
10,2024-01-04 00:10:00,42884.99,42901.1,42884.98,42891.09,41.78732,,,42884.98,16.119999999995343,16.119999999995343,0.0,16.119999999995343,,False,False
11,2024-01-04 00:11:00,42891.09,42910.0,42891.09,42909.99,24.53014,,,42891.09,18.910000000003492,18.910000000003492,0.0,18.910000000003492,,False,False
12,2024-01-04 00:12:00,42909.99,42919.62,42895.08,42895.08,73.94303,,,42909.99,24.540000000000873,9.630000000004657,14.909999999996217,24.540000000000873,,False,False
13,2024-01-04 00:13:00,42895.08,42908.35,42895.08,42908.34,25.94845,,,42895.08,13.269999999996799,13.269999999996799,0.0,13.269999999996799,38.70785714285739,False,False
14,2024-01-04 00:14:00,42908.35,42946.84,42908.34,42936.42,48.37087,,,42908.34,38.5,38.5,0.0,38.5,38.088571428571285,False,False
15,2024-01-04 00:15:00,42936.42,42958.8,42921.21,42942.75,44.66958,,,42936.42,37.59000000000378,22.380000000004657,15.209999999999127,37.59000000000378,37.67214285714311,False,False
16,2024-01-04 00:16:00,42942.74,42983.77,42938.51,42938.51,52.87728,,,42942.75,45.25999999999476,41.0199999999968,4.239999999997963,45.25999999999476,37.60285714285679,False,False
17,2024-01-04 00:17:00,42938.52,42968.08,42938.51,42954.08,21.55528,,,42938.51,29.56999999999971,29.56999999999971,0.0,29.56999999999971,36.76428571428499,False,False
18,2024-01-04 00:18:00,42954.08,42970.19,42936.02,42936.03,39.63069,,,42954.08,34.17000000000553,16.110000000000582,18.060000000004948,34.17000000000553,37.73999999999952,False,False
19,2024-01-04 00:19:00,42936.03,42936.03,42911.68,42919.03,16.99763,,,42936.03,24.349999999998545,0.0,24.349999999998545,24.349999999998545,35.90357142857101,False,False
20,2024-01-04 00:20:00,42919.03,42936.0,42872.66,42872.67,37.12756,,,42919.03,63.33999999999651,16.970000000001164,46.36999999999534,63.33999999999651,35.008571428570576,False,False
21,2024-01-04 00:21:00,42872.66,42872.68,42836.61,42871.99,67.49529,,,42872.67,36.06999999999971,0.010000000002037268,36.05999999999767,36.06999999999971,31.702857142856374,False,False
22,2024-01-04 00:22:00,42872.0,42872.55,42822.17,42822.18,36.85018,,,42871.99,50.38000000000466,0.5600000000049477,49.81999999999971,50.38000000000466,33.14785714285712,False,False
23,2024-01-04 00:23:00,42822.18,42837.43,42812.87,42832.72,23.27673,,,42822.18,24.55999999999767,15.25,9.309999999997672,24.55999999999767,32.616428571428386,False,False
24,2024-01-04 00:24:00,42832.71,42832.72,42800.0,42825.01,25.4361,,,42832.72,32.720000000001164,0.0,32.720000000001164,32.720000000001164,33.80214285714309,False,False
25,2024-01-04 00:25:00,42825.01,42839.27,42806.45,42837.61,14.69291,,,42825.01,32.81999999999971,14.259999999994761,18.560000000004948,32.81999999999971,34.79571428571425,False,False
26,2024-01-04 00:26:00,42837.6,42847.82,42832.03,42836.36,11.51927,,,42837.61,15.790000000000873,10.209999999999127,5.580000000001746,15.790000000000873,34.17071428571425,False,False
27,2024-01-04 00:27:00,42836.35,42872.6,42836.35,42858.01,16.24556,,,42836.36,36.25,36.23999999999796,0.010000000002037268,36.25,35.812142857143044,False,False
28,2024-01-04 00:28:00,42858.01,42874.55,42857.98,42874.55,7.19087,,,42858.01,16.56999999999971,16.540000000000873,0.029999999998835847,16.56999999999971,34.24571428571445,False,False
29,2024-01-04 00:29:00,42874.54,42894.13,42874.54,42890.36,6.43375,,,42874.55,19.589999999996508,19.57999999999447,0.010000000002037268,19.589999999996508,32.959999999999646,False,False
