,asset,free,locked
0,BTC,0.00000000,0.00000000
1,LTC,0.00000000,0.00000000
2,ETH,0.00000000,0.00000000
3,NEO,0.00000000,0.00000000
4,BNB,0.00000000,0.00000000
5,QTUM,0.00000000,0.00000000
6,EOS,0.00000000,0.00000000
7,SNT,0.00000000,0.00000000
8,BNT,0.00000000,0.00000000
9,GAS,0.00000000,0.00000000
10,BCC,0.00000000,0.00000000
11,USDT,0.00000000,0.00000000
12,HSR,0.00000000,0.00000000
13,OAX,0.00000000,0.00000000
14,DNT,0.00000000,0.00000000
15,MCO,0.00000000,0.00000000
16,ICN,0.00000000,0.00000000
17,ZRX,0.00000000,0.00000000
18,OMG,0.00000000,0.00000000
19,WTC,0.00000000,0.00000000
20,YOYO,0.00000000,0.00000000
21,LRC,0.00000000,0.00000000
22,TRX,0.00000000,0.00000000
23,SNGLS,0.00000000,0.00000000
24,STRAT,0.00000000,0.00000000
25,BQX,0.00000000,0.00000000
26,FUN,0.00000000,0.00000000
27,KNC,0.00000000,0.00000000
28,CDT,0.00000000,0.00000000
29,XVG,0.00000000,0.00000000
30,IOTA,0.00000000,0.00000000
31,SNM,0.00000000,0.00000000
32,LINK,0.00000000,0.00000000
33,CVC,0.00000000,0.00000000
34,TNT,0.00000000,0.00000000
35,REP,0.00000000,0.00000000
36,MDA,0.00000000,0.00000000
37,MTL,0.00000000,0.00000000
38,SALT,0.00000000,0.00000000
39,NULS,0.00000000,0.00000000
40,SUB,0.00000000,0.00000000
41,STX,0.00000000,0.00000000
42,MTH,0.00000000,0.00000000
43,ADX,0.00000000,0.00000000
44,ETC,0.00000000,0.00000000
45,ENG,0.00000000,0.00000000
46,ZEC,0.00000000,0.00000000
47,AST,0.00000000,0.00000000
48,GNT,0.00000000,0.00000000
49,DGD,0.00000000,0.00000000
50,BAT,0.00000000,0.00000000
51,DASH,0.00000000,0.00000000
52,POWR,0.00000000,0.00000000
53,BTG,0.00000000,0.00000000
54,REQ,0.00000000,0.00000000
55,XMR,0.00000000,0.00000000
56,EVX,0.00000000,0.00000000
57,VIB,0.00000000,0.00000000
58,ENJ,0.00000000,0.00000000
59,VEN,0.00000000,0.00000000
60,ARK,0.00000000,0.00000000
61,XRP,0.00000000,0.00000000
62,MOD,0.00000000,0.00000000
63,STORJ,0.00000000,0.00000000
