date,SPY,^GSPC,^VIX
2020-01-02,306.2952575683594,3257.85009765625,12.470000267028809
2020-01-03,303.9759521484375,3234.85009765625,14.020000457763672
2020-01-06,305.1355895996094,3246.280029296875,13.850000381469727
2020-01-07,304.2776794433594,3237.179931640625,13.789999961853027
2020-01-08,305.89935302734375,3253.050048828125,13.449999809265137
2020-01-09,307.97344970703125,3274.699951171875,12.539999961853027
2020-01-10,307.0873107910156,3265.35009765625,12.5600004196167
2020-01-13,309.19921875,3288.1298828125,12.319999694824219
2020-01-14,308.72772216796875,3283.14990234375,12.390000343322754
2020-01-15,309.42547607421875,3289.2900390625,12.420000076293945
2020-01-16,311.99932861328125,3316.81005859375,12.319999694824219
2020-01-17,312.9704895019531,3329.6201171875,12.100000381469727
2020-01-21,312.3575744628906,3320.7900390625,12.850000381469727
2020-01-22,312.39532470703125,3321.75,12.90999984741211
2020-01-23,312.75360107421875,3325.5400390625,12.979999542236328
2020-01-24,309.9722595214844,3295.469970703125,14.5600004196167
2020-01-27,305.0035705566406,3243.6298828125,18.229999542236328
2020-01-28,308.1997985839844,3276.239990234375,16.280000686645508
2020-01-29,307.9452209472656,3273.39990234375,16.389999389648438
2020-01-30,308.94464111328125,3283.659912109375,15.489999771118164
2020-01-31,303.3348083496094,3225.52001953125,18.84000015258789
2020-02-03,305.588134765625,3248.919921875,17.969999313354492
2020-02-04,310.2457275390625,3297.590087890625,16.049999237060547
2020-02-05,313.8284606933594,3334.68994140625,15.149999618530273
2020-02-06,314.8843994140625,3345.780029296875,14.960000038146973
2020-02-07,313.20611572265625,3327.7099609375,15.470000267028809
2020-02-10,315.5442810058594,3352.090087890625,15.039999961853027
2020-02-11,316.0911865234375,3357.75,15.180000305175781
2020-02-12,318.12774658203125,3379.449951171875,13.739999771118164
2020-02-13,317.78826904296875,3373.93994140625,14.149999618530273
2020-02-14,318.2973937988281,3380.159912109375,13.680000305175781
2020-02-18,317.4771728515625,3370.2900390625,14.829999923706055
2020-02-19,318.9950866699219,3386.14990234375,14.380000114440918
2020-02-20,317.68463134765625,3373.22998046875,15.5600004196167
2020-02-21,314.4129943847656,3337.75,17.079999923706055
2020-02-24,303.9853515625,3225.889892578125,25.030000686645508
2020-02-25,294.77392578125,3128.2099609375,27.850000381469727
2020-02-26,293.6897277832031,3116.389892578125,27.559999465942383
2020-02-27,280.49957275390625,2978.760009765625,39.15999984741211
2020-02-28,279.321044921875,2954.219970703125,40.11000061035156
2020-03-02,291.4175109863281,3090.22998046875,33.41999816894531
2020-03-03,283.073486328125,3003.3701171875,36.81999969482422
2020-03-04,294.9719543457031,3130.1201171875,31.989999771118164
2020-03-05,285.1665344238281,3023.93994140625,39.619998931884766
2020-03-06,280.4524230957031,2972.3701171875,41.939998626708984
2020-03-09,258.5506896972656,2746.56005859375,54.459999084472656
2020-03-10,271.9293212890625,2882.22998046875,47.29999923706055
2020-03-11,258.6732482910156,2741.3798828125,53.900001525878906
2020-03-12,233.92408752441406,2480.639892578125,75.47000122070312
2020-03-13,253.92138671875,2711.02001953125,57.83000183105469
2020-03-16,226.1363525390625,2386.1298828125,82.69000244140625
2020-03-17,238.34593200683594,2529.18994140625,75.91000366210938
2020-03-18,226.2777862548828,2398.10009765625,76.44999694824219
2020-03-19,226.7586212158203,2409.389892578125,72.0
2020-03-20,216.98666381835938,2304.919921875,66.04000091552734
2020-03-23,211.43870544433594,2237.39990234375,61.59000015258789
2020-03-24,230.59571838378906,2447.330078125,61.66999816894531
2020-03-25,234.04774475097656,2475.56005859375,63.95000076293945
2020-03-26,247.71377563476562,2630.070068359375,61.0
2020-03-27,240.33543395996094,2541.469970703125,65.54000091552734
2020-03-30,248.14053344726562,2626.64990234375,57.08000183105469
2020-03-31,244.44189453125,2584.590087890625,53.540000915527344
2020-04-01,233.44082641601562,2470.5,57.060001373291016
2020-04-02,238.82757568359375,2526.89990234375,50.90999984741211
2020-04-03,235.37550354003906,2488.64990234375,46.79999923706055
2020-04-06,251.18475341796875,2663.679931640625,45.2400016784668
2020-04-07,251.44081115722656,2659.409912109375,46.70000076293945
2020-04-08,259.88134765625,2749.97998046875,43.349998474121094
2020-04-09,263.83599853515625,2789.820068359375,41.66999816894531
2020-04-13,261.4272155761719,2761.6298828125,41.16999816894531
2020-04-14,269.1374206542969,2846.06005859375,37.7599983215332
2020-04-15,263.41876220703125,2783.360107421875,40.84000015258789
2020-04-16,264.6895751953125,2799.550048828125,40.11000061035156
2020-04-17,271.84027099609375,2874.56005859375,38.150001525878906
2020-04-20,267.05096435546875,2823.159912109375,43.83000183105469
2020-04-21,258.9425048828125,2736.56005859375,45.40999984741211
2020-04-22,264.6895751953125,2799.31005859375,41.97999954223633
2020-04-23,264.6705627441406,2797.800048828125,41.380001068115234
2020-04-24,268.3597412109375,2836.739990234375,35.93000030517578
2020-04-27,272.2290954589844,2878.47998046875,33.290000915527344
2020-04-28,270.9771728515625,2863.389892578125,33.56999969482422
2020-04-29,278.071044921875,2939.510009765625,31.229999542236328
2020-04-30,275.4819641113281,2912.429931640625,34.150001525878906
2020-05-01,268.1890869140625,2830.7099609375,37.189998626708984
2020-05-04,268.92877197265625,2842.739990234375,35.970001220703125
2020-05-05,271.41351318359375,2868.43994140625,33.61000061035156
2020-05-06,269.5736389160156,2848.419921875,34.119998931884766
2020-05-07,272.8265686035156,2881.18994140625,31.440000534057617
2020-05-08,277.3408203125,2929.800048828125,27.979999542236328
2020-05-11,277.3976745605469,2930.18994140625,27.56999969482422
