date,SPY,cash
2020-01-02,0.0,10000.0
2020-01-03,32.897339178715036,0.0
2020-01-06,32.897339178715036,0.0
2020-01-07,32.897339178715036,0.0
2020-01-08,32.897339178715036,0.0
2020-01-09,32.897339178715036,0.0
2020-01-10,32.897339178715036,0.0
2020-01-13,32.897339178715036,0.0
2020-01-14,32.897339178715036,0.0
2020-01-15,32.897339178715036,0.0
2020-01-16,32.897339178715036,0.0
2020-01-17,32.897339178715036,0.0
2020-01-21,32.897339178715036,0.0
2020-01-22,32.897339178715036,0.0
2020-01-23,32.897339178715036,0.0
2020-01-24,32.897339178715036,0.0
2020-01-27,32.897339178715036,0.0
2020-01-28,32.897339178715036,0.0
2020-01-29,32.897339178715036,0.0
2020-01-30,32.897339178715036,0.0
2020-01-31,32.897339178715036,0.0
2020-02-03,32.897339178715036,0.0
2020-02-04,32.897339178715036,0.0
2020-02-05,32.897339178715036,0.0
2020-02-06,32.897339178715036,0.0
2020-02-07,32.897339178715036,0.0
2020-02-10,32.897339178715036,0.0
2020-02-11,32.897339178715036,0.0
2020-02-12,32.897339178715036,0.0
2020-02-13,32.897339178715036,0.0
2020-02-14,32.897339178715036,0.0
2020-02-18,32.897339178715036,0.0
2020-02-19,32.897339178715036,0.0
2020-02-20,32.897339178715036,0.0
2020-02-21,32.897339178715036,0.0
2020-02-24,32.897339178715036,0.0
2020-02-25,32.897339178715036,0.0
2020-02-26,32.897339178715036,0.0
2020-02-27,0.0,9227.68958436991
2020-02-28,0.0,9227.68958436991
2020-03-02,0.0,9227.68958436991
2020-03-03,0.0,9227.68958436991
2020-03-04,0.0,9227.68958436991
2020-03-05,0.0,9227.68958436991
2020-03-06,0.0,9227.68958436991
2020-03-09,0.0,9227.68958436991
2020-03-10,0.0,9227.68958436991
2020-03-11,0.0,9227.68958436991
2020-03-12,0.0,9227.68958436991
2020-03-13,0.0,9227.68958436991
2020-03-16,0.0,9227.68958436991
2020-03-17,0.0,9227.68958436991
2020-03-18,0.0,9227.68958436991
2020-03-19,0.0,9227.68958436991
2020-03-20,0.0,9227.68958436991
2020-03-23,0.0,9227.68958436991
2020-03-24,0.0,9227.68958436991
2020-03-25,0.0,9227.68958436991
2020-03-26,0.0,9227.68958436991
2020-03-27,0.0,9227.68958436991
2020-03-30,0.0,9227.68958436991
2020-03-31,0.0,9227.68958436991
2020-04-01,0.0,9227.68958436991
2020-04-02,0.0,9227.68958436991
2020-04-03,0.0,9227.68958436991
2020-04-06,0.0,9227.68958436991
2020-04-07,0.0,9227.68958436991
2020-04-08,0.0,9227.68958436991
2020-04-09,0.0,9227.68958436991
2020-04-13,0.0,9227.68958436991
2020-04-14,0.0,9227.68958436991
2020-04-15,0.0,9227.68958436991
2020-04-16,0.0,9227.68958436991
2020-04-17,0.0,9227.68958436991
2020-04-20,0.0,9227.68958436991
2020-04-21,0.0,9227.68958436991
2020-04-22,0.0,9227.68958436991
2020-04-23,0.0,9227.68958436991
2020-04-24,0.0,9227.68958436991
2020-04-27,0.0,9227.68958436991
2020-04-28,0.0,9227.68958436991
2020-04-29,0.0,9227.68958436991
2020-04-30,0.0,9227.68958436991
2020-05-01,0.0,9227.68958436991
2020-05-04,0.0,9227.68958436991
2020-05-05,0.0,9227.68958436991
2020-05-06,0.0,9227.68958436991
2020-05-07,0.0,9227.68958436991
2020-05-08,33.27202095231565,0.0
2020-05-11,33.27202095231565,0.0
2020-05-12,0.0,9045.621527822066
2020-05-13,0.0,9045.621527822066
2020-05-14,0.0,9045.621527822066
2020-05-15,0.0,9045.621527822066
2020-05-18,32.33251691894387,0.0
2020-05-19,0.0,8952.712903765432
2020-05-20,31.79242080064348,0.0
2020-05-21,31.792420800643477,0.0
2020-05-22,31.79242080064348,0.0
2020-05-26,31.79242080064348,0.0
2020-05-27,31.792420800643484,0.0
2020-05-28,31.792420800643484,0.0
2020-05-29,31.79242080064348,0.0
2020-06-01,31.792420800643477,0.0
2020-06-02,31.792420800643477,0.0
2020-06-03,31.792420800643477,0.0
2020-06-04,31.792420800643477,0.0
2020-06-05,31.792420800643477,0.0
2020-06-08,31.792420800643477,0.0
2020-06-09,31.792420800643473,0.0
2020-06-10,31.79242080064347,0.0
2020-06-11,0.0,9063.669112114501
2020-06-12,0.0,9063.669112114501
2020-06-15,0.0,9063.669112114501
2020-06-16,0.0,9063.669112114501
2020-06-17,0.0,9063.669112114501
2020-06-18,0.0,9063.669112114501
2020-06-19,0.0,9063.669112114501
2020-06-22,0.0,9063.669112114501
2020-06-23,0.0,9063.669112114501
2020-06-24,0.0,9063.669112114501
2020-06-25,0.0,9063.669112114501
2020-06-26,0.0,9063.669112114501
2020-06-29,0.0,9063.669112114501
2020-06-30,0.0,9063.669112114501
2020-07-01,30.642944160475842,0.0
2020-07-02,30.642944160475846,0.0
2020-07-06,30.64294416047585,0.0
2020-07-07,30.64294416047585,0.0
2020-07-08,30.64294416047585,0.0
2020-07-09,30.64294416047585,0.0
2020-07-10,30.64294416047585,0.0
2020-07-13,0.0,9189.765463235803
2020-07-14,30.250928377123874,0.0
2020-07-15,30.250928377123874,0.0
2020-07-16,30.250928377123874,0.0
2020-07-17,30.250928377123874,0.0
2020-07-20,30.250928377123877,0.0
2020-07-21,30.250928377123874,0.0
2020-07-22,30.25092837712387,0.0
2020-07-23,30.250928377123866,0.0
2020-07-24,30.25092837712387,0.0
2020-07-27,30.250928377123874,0.0
2020-07-28,30.25092837712387,0.0
2020-07-29,30.25092837712387,0.0
2020-07-30,30.25092837712387,0.0
2020-07-31,30.250928377123866,0.0
