date,SPY,cash
2020-01-02,0.0,10000.0
2020-01-03,33.030723068212254,0.0
2020-01-06,33.030723068212254,0.0
2020-01-07,33.030723068212254,0.0
2020-01-08,33.030723068212254,0.0
2020-01-09,33.030723068212254,0.0
2020-01-10,33.030723068212254,0.0
2020-01-13,33.030723068212254,0.0
2020-01-14,33.030723068212254,0.0
2020-01-15,33.030723068212254,0.0
2020-01-16,33.030723068212254,0.0
2020-01-17,33.030723068212254,0.0
2020-01-21,33.030723068212254,0.0
2020-01-22,33.030723068212254,0.0
2020-01-23,33.030723068212254,0.0
2020-01-24,33.030723068212254,0.0
2020-01-27,33.030723068212254,0.0
2020-01-28,33.030723068212254,0.0
2020-01-29,33.030723068212254,0.0
2020-01-30,33.030723068212254,0.0
2020-01-31,33.030723068212254,0.0
2020-02-03,33.030723068212254,0.0
2020-02-04,33.030723068212254,0.0
2020-02-05,33.030723068212254,0.0
2020-02-06,33.030723068212254,0.0
2020-02-07,33.030723068212254,0.0
2020-02-10,33.030723068212254,0.0
2020-02-11,33.030723068212254,0.0
2020-02-12,33.030723068212254,0.0
2020-02-13,33.030723068212254,0.0
2020-02-14,33.030723068212254,0.0
2020-02-18,33.030723068212254,0.0
2020-02-19,33.030723068212254,0.0
2020-02-20,33.030723068212254,0.0
2020-02-21,33.030723068212254,0.0
2020-02-24,33.030723068212254,0.0
2020-02-25,33.030723068212254,0.0
2020-02-26,33.030723068212254,0.0
2020-02-27,0.0,9227.692140516454
2020-02-28,0.0,9227.692140516454
2020-03-02,0.0,9227.692140516454
2020-03-03,0.0,9227.692140516454
2020-03-04,0.0,9227.692140516454
2020-03-05,0.0,9227.692140516454
2020-03-06,0.0,9227.692140516454
2020-03-09,0.0,9227.692140516454
2020-03-10,0.0,9227.692140516454
2020-03-11,0.0,9227.692140516454
2020-03-12,0.0,9227.692140516454
2020-03-13,0.0,9227.692140516454
2020-03-16,0.0,9227.692140516454
2020-03-17,0.0,9227.692140516454
2020-03-18,0.0,9227.692140516454
2020-03-19,0.0,9227.692140516454
2020-03-20,0.0,9227.692140516454
2020-03-23,0.0,9227.692140516454
2020-03-24,0.0,9227.692140516454
2020-03-25,0.0,9227.692140516454
2020-03-26,0.0,9227.692140516454
2020-03-27,0.0,9227.692140516454
2020-03-30,0.0,9227.692140516454
2020-03-31,0.0,9227.692140516454
2020-04-01,0.0,9227.692140516454
2020-04-02,0.0,9227.692140516454
2020-04-03,0.0,9227.692140516454
2020-04-06,0.0,9227.692140516454
2020-04-07,0.0,9227.692140516454
2020-04-08,0.0,9227.692140516454
2020-04-09,0.0,9227.692140516454
2020-04-13,0.0,9227.692140516454
2020-04-14,0.0,9227.692140516454
2020-04-15,0.0,9227.692140516454
2020-04-16,0.0,9227.692140516454
2020-04-17,0.0,9227.692140516454
2020-04-20,0.0,9227.692140516454
2020-04-21,0.0,9227.692140516454
2020-04-22,0.0,9227.692140516454
2020-04-23,0.0,9227.692140516454
2020-04-24,0.0,9227.692140516454
2020-04-27,0.0,9227.692140516454
2020-04-28,0.0,9227.692140516454
2020-04-29,0.0,9227.692140516454
2020-04-30,0.0,9227.692140516454
2020-05-01,0.0,9227.692140516454
2020-05-04,0.0,9227.692140516454
2020-05-05,0.0,9227.692140516454
2020-05-06,0.0,9227.692140516454
2020-05-07,0.0,9227.692140516454
2020-05-08,33.40692381176559,0.0
2020-05-11,33.40692381176559,0.0
2020-05-12,0.0,9045.623997942968
2020-05-13,0.0,9045.623997942968
2020-05-14,0.0,9045.623997942968
2020-05-15,0.0,9045.623997942968
2020-05-18,32.46360604358554,0.0
2020-05-19,0.0,8952.713173297596
2020-05-20,31.921318719460253,0.0
2020-05-21,31.92131871946025,0.0
2020-05-22,31.921318719460245,0.0
2020-05-26,31.92131871946025,0.0
2020-05-27,31.92131871946025,0.0
2020-05-28,31.921318719460253,0.0
2020-05-29,31.921318719460253,0.0
2020-06-01,31.92131871946025,0.0
2020-06-02,31.92131871946025,0.0
2020-06-03,31.921318719460245,0.0
2020-06-04,31.921318719460245,0.0
2020-06-05,31.921318719460245,0.0
2020-06-08,31.921318719460245,0.0
2020-06-09,31.92131871946025,0.0
2020-06-10,31.92131871946025,0.0
2020-06-11,0.0,9063.667227197448
2020-06-12,0.0,9063.667227197448
2020-06-15,0.0,9063.667227197448
2020-06-16,0.0,9063.667227197448
2020-06-17,0.0,9063.667227197448
2020-06-18,0.0,9063.667227197448
2020-06-19,0.0,9063.667227197448
2020-06-22,0.0,9063.667227197448
2020-06-23,0.0,9063.667227197448
2020-06-24,0.0,9063.667227197448
2020-06-25,0.0,9063.667227197448
2020-06-26,0.0,9063.667227197448
2020-06-29,0.0,9063.667227197448
2020-06-30,0.0,9063.667227197448
2020-07-01,30.76718455300103,0.0
2020-07-02,30.767184553001034,0.0
2020-07-06,30.76718455300103,0.0
2020-07-07,30.76718455300103,0.0
2020-07-08,30.767184553001034,0.0
2020-07-09,30.767184553001034,0.0
2020-07-10,30.767184553001034,0.0
2020-07-13,0.0,9189.764046774913
2020-07-14,30.37357244497678,0.0
2020-07-15,30.373572444976784,0.0
2020-07-16,30.373572444976784,0.0
2020-07-17,30.373572444976784,0.0
2020-07-20,30.373572444976784,0.0
2020-07-21,30.373572444976784,0.0
2020-07-22,30.373572444976784,0.0
2020-07-23,30.373572444976784,0.0
2020-07-24,30.373572444976784,0.0
2020-07-27,30.373572444976784,0.0
2020-07-28,30.373572444976787,0.0
2020-07-29,30.37357244497679,0.0
2020-07-30,30.373572444976787,0.0
2020-07-31,30.373572444976787,0.0
