date,SPY,^GSPC,^VIX
2020-01-02,305.0583801269531,3257.85009765625,12.470000267028809
2020-01-03,302.7484436035156,3234.85009765625,14.020000457763672
2020-01-06,303.9034423828125,3246.280029296875,13.850000381469727
2020-01-07,303.0489196777344,3237.179931640625,13.789999961853027
2020-01-08,304.6640625,3253.050048828125,13.449999809265137
2020-01-09,306.7298583984375,3274.699951171875,12.539999961853027
2020-01-10,305.8472595214844,3265.35009765625,12.5600004196167
2020-01-13,307.9506530761719,3288.1298828125,12.319999694824219
2020-01-14,307.48101806640625,3283.14990234375,12.390000343322754
2020-01-15,308.17596435546875,3289.2900390625,12.420000076293945
2020-01-16,310.7394714355469,3316.81005859375,12.319999694824219
2020-01-17,311.70672607421875,3329.6201171875,12.100000381469727
2020-01-21,311.0963134765625,3320.7900390625,12.850000381469727
2020-01-22,311.1338806152344,3321.75,12.90999984741211
2020-01-23,311.4906921386719,3325.5400390625,12.979999542236328
2020-01-24,308.7206726074219,3295.469970703125,14.5600004196167
2020-01-27,303.7719421386719,3243.6298828125,18.229999542236328
2020-01-28,306.95526123046875,3276.239990234375,16.280000686645508
2020-01-29,306.7016906738281,3273.39990234375,16.389999389648438
2020-01-30,307.69708251953125,3283.659912109375,15.489999771118164
2020-01-31,302.1099548339844,3225.52001953125,18.84000015258789
2020-02-03,304.3541259765625,3248.919921875,17.969999313354492
2020-02-04,308.9928894042969,3297.590087890625,16.049999237060547
2020-02-05,312.5611267089844,3334.68994140625,15.149999618530273
2020-02-06,313.6128845214844,3345.780029296875,14.960000038146973
2020-02-07,311.94140625,3327.7099609375,15.470000267028809
2020-02-10,314.27020263671875,3352.090087890625,15.039999961853027
2020-02-11,314.8148498535156,3357.75,15.180000305175781
2020-02-12,316.8431091308594,3379.449951171875,13.739999771118164
2020-02-13,316.5050354003906,3373.93994140625,14.149999618530273
2020-02-14,317.0120849609375,3380.159912109375,13.680000305175781
2020-02-18,316.1951599121094,3370.2900390625,14.829999923706055
2020-02-19,317.7070007324219,3386.14990234375,14.380000114440918
2020-02-20,316.4017028808594,3373.22998046875,15.5600004196167
2020-02-21,313.143310546875,3337.75,17.079999923706055
2020-02-24,302.7578430175781,3225.889892578125,25.030000686645508
2020-02-25,293.58367919921875,3128.2099609375,27.850000381469727
2020-02-26,292.5036926269531,3116.389892578125,27.559999465942383
2020-02-27,279.366943359375,2978.760009765625,39.15999984741211
2020-02-28,278.1931457519531,2954.219970703125,40.11000061035156
2020-03-02,290.24072265625,3090.22998046875,33.41999816894531
2020-03-03,281.9304504394531,3003.3701171875,36.81999969482422
2020-03-04,293.78082275390625,3130.1201171875,31.989999771118164
2020-03-05,284.0151062011719,3023.93994140625,39.619998931884766
2020-03-06,279.3199157714844,2972.3701171875,41.939998626708984
2020-03-09,257.50653076171875,2746.56005859375,54.459999084472656
2020-03-10,270.8312683105469,2882.22998046875,47.29999923706055
2020-03-11,257.628662109375,2741.3798828125,53.900001525878906
2020-03-12,232.9794921875,2480.639892578125,75.47000122070312
2020-03-13,252.89608764648438,2711.02001953125,57.83000183105469
2020-03-16,225.22320556640625,2386.1298828125,82.69000244140625
