,time,open,high,low,close,tick_volume,spread,real_volume
0,2010-01-03,1.43259,1.43336,1.42879,1.42886,3067,12,0
1,2010-01-04,1.42885,1.44543,1.42569,1.44183,45164,10,0
2,2010-01-05,1.4418,1.4483,1.43342,1.43469,46835,10,0
3,2010-01-06,1.43468,1.44456,1.42831,1.44235,45672,9,0
4,2010-01-07,1.4423300000000001,1.44259,1.42994,1.4316200000000001,43757,10,0
5,2010-01-08,1.43163,1.44263,1.42634,1.44085,31854,9,0
6,2010-01-10,1.44125,1.4494500000000001,1.4412099999999999,1.44831,4053,15,0
7,2010-01-11,1.44832,1.45545,1.44716,1.4487700000000001,44092,9,0
8,2010-01-12,1.44878,1.45448,1.44537,1.44683,46204,9,0
9,2010-01-13,1.44681,1.45785,1.44561,1.45313,46494,9,0
10,2010-01-14,1.4531399999999999,1.45547,1.44478,1.44737,43956,8,0
11,2010-01-15,1.44737,1.44777,1.43365,1.43857,44925,8,0
12,2010-01-17,1.4348,1.4374799999999999,1.4334799999999999,1.43436,2891,13,0
13,2010-01-18,1.43437,1.44131,1.43349,1.44008,33345,9,0
14,2010-01-19,1.44003,1.4411100000000001,1.42527,1.42872,49057,9,0
15,2010-01-20,1.42873,1.42873,1.40818,1.41183,55941,9,0
16,2010-01-21,1.41182,1.41415,1.40285,1.41062,59082,9,0
17,2010-01-22,1.41066,1.41807,1.40891,1.41363,50007,8,0
18,2010-01-24,1.41523,1.41724,1.4141599999999999,1.41476,2800,12,0
19,2010-01-25,1.41475,1.4193799999999999,1.41278,1.41653,41619,9,0
20,2010-01-26,1.41652,1.41784,1.40422,1.4069099999999999,53015,9,0
21,2010-01-27,1.40692,1.40963,1.39896,1.4003700000000001,54636,9,0
22,2010-01-28,1.40036,1.40518,1.3918300000000001,1.39304,53717,9,0
23,2010-01-29,1.3930500000000001,1.3987,1.3860999999999999,1.38611,46766,9,0
24,2010-01-31,1.3862700000000001,1.3887,1.38622,1.38711,2944,14,0
25,2010-02-01,1.3871,1.3937599999999999,1.38521,1.39252,45798,9,0
26,2010-02-02,1.3924400000000001,1.39757,1.38858,1.39652,43972,9,0
27,2010-02-03,1.39651,1.40255,1.3879000000000001,1.38811,43410,9,0
28,2010-02-04,1.38812,1.3896600000000001,1.37006,1.3703699999999999,46802,9,0
29,2010-02-05,1.37032,1.37412,1.35854,1.36776,54609,9,0
30,2010-02-07,1.36561,1.36664,1.36307,1.36574,3732,14,0
31,2010-02-08,1.36575,1.37128,1.3620999999999999,1.36525,47010,9,0
32,2010-02-09,1.36526,1.3838,1.3648799999999999,1.3792499999999999,54299,9,0
33,2010-02-10,1.37926,1.38119,1.36767,1.3767800000000001,50335,8,0
34,2010-02-11,1.3768099999999999,1.38,1.35955,1.36615,48102,9,0
35,2010-02-12,1.36618,1.36869,1.35311,1.3630900000000001,46140,9,0
36,2010-02-14,1.36158,1.36303,1.36091,1.36232,2060,13,0
37,2010-02-15,1.36233,1.36322,1.35785,1.36052,28240,8,0
38,2010-02-16,1.36055,1.37785,1.36033,1.37662,46821,9,0
39,2010-02-17,1.37663,1.37881,1.3563100000000001,1.35743,48410,9,0
40,2010-02-18,1.35746,1.36537,1.34433,1.34903,54257,8,0
41,2010-02-19,1.3490199999999999,1.36174,1.3455599999999999,1.36116,45411,9,0
42,2010-02-21,1.36133,1.36441,1.36013,1.36282,2716,12,0
43,2010-02-22,1.36284,1.36531,1.35745,1.36022,38429,8,0
44,2010-02-23,1.36021,1.36913,1.34961,1.35142,48855,8,0
45,2010-02-24,1.35138,1.3625,1.35114,1.35114,45145,8,0
46,2010-02-25,1.3512,1.35702,1.34504,1.35463,50363,8,0
47,2010-02-26,1.35462,1.36826,1.35452,1.3631,45890,8,0
48,2010-02-28,1.36222,1.36496,1.36165,1.36349,3326,12,0
49,2010-03-01,1.36354,1.36541,1.34601,1.35378,47064,8,0
50,2010-03-02,1.35379,1.36521,1.34349,1.36212,50096,8,0
51,2010-03-03,1.36215,1.37351,1.35921,1.3693,48240,8,0
52,2010-03-04,1.36929,1.37117,1.35511,1.35822,45346,8,0
53,2010-03-05,1.35819,1.36297,1.353,1.36198,34158,8,0
54,2010-03-07,1.36307,1.36661,1.36307,1.36571,2601,10,0
55,2010-03-08,1.3657,1.37038,1.36056,1.36203,30863,8,0
56,2010-03-09,1.36202,1.36347,1.3537,1.35954,34298,8,0
57,2010-03-10,1.35957,1.3679299999999999,1.3544,1.36299,31271,9,0
58,2010-03-11,1.36297,1.36887,1.36206,1.36818,30301,9,0
59,2010-03-12,1.36812,1.37954,1.36693,1.3767800000000001,33009,9,0
60,2010-03-14,1.37612,1.3774600000000001,1.37481,1.37491,1787,20,0
61,2010-03-15,1.37497,1.37599,1.36423,1.36693,34577,9,0
62,2010-03-16,1.3669,1.37825,1.36566,1.37663,37606,9,0
63,2010-03-17,1.3766,1.38171,1.37111,1.37232,37855,10,0
64,2010-03-18,1.3723,1.37282,1.35862,1.36159,39390,9,0
65,2010-03-19,1.36158,1.36263,1.35029,1.35301,33489,10,0
66,2010-03-21,1.35174,1.35328,1.35089,1.35127,1352,13,0
67,2010-03-22,1.35128,1.35687,1.34629,1.35462,35625,8,0
68,2010-03-23,1.3546,1.35622,1.34581,1.3471899999999999,41752,9,0
69,2010-03-24,1.34717,1.34724,1.3305,1.33352,44831,9,0
70,2010-03-25,1.33353,1.33861,1.32671,1.3309,42219,9,0
71,2010-03-26,1.33084,1.34231,1.33049,1.3407499999999999,39981,9,0
72,2010-03-28,1.3471899999999999,1.34768,1.34341,1.3443100000000001,2587,14,0
73,2010-03-29,1.34432,1.35056,1.34172,1.3489200000000001,35786,9,0
74,2010-03-30,1.3489499999999999,1.35367,1.33951,1.34336,36512,9,0
75,2010-03-31,1.34332,1.35477,1.33841,1.35256,43313,9,0
76,2010-04-01,1.3526,1.35904,1.346,1.35862,38414,8,0
77,2010-04-02,1.3586,1.35883,1.34748,1.3503,19501,9,0
78,2010-04-04,1.349,1.3501400000000001,1.34882,1.34938,1284,15,0
