,Datetime,Open,High,Low,Close,Adj Close,Volume,Close_Predict,Percent_Diff,Open_next,High_next,Low_next,Volume_next
0,2023-11-01,86800.0,87800.0,86100.0,87800.0,87800.0,1550100,87351.98466487294,-0.5102680354522283,88000.0,89000.0,86600.0,1114500.0
1,2023-11-02,88000.0,89000.0,86600.0,89000.0,89000.0,1114500,88049.50820624043,-1.0679683075950277,89000.0,89400.0,88100.0,1157600.0
2,2023-11-03,89000.0,89400.0,88100.0,88900.0,88900.0,1157600,88621.92531552634,-0.3127949206677804,88900.0,89800.0,88500.0,833800.0
3,2023-11-06,88900.0,89800.0,88500.0,89500.0,89500.0,833800,89521.19517459035,0.02368175931882657,89000.0,89300.0,88300.0,518900.0
4,2023-11-07,89000.0,89300.0,88300.0,88300.0,88300.0,518900,88681.48382899452,0.432031516415083,88000.0,89700.0,87900.0,1329300.0
5,2023-11-08,88000.0,89700.0,87900.0,89500.0,89500.0,1329300,89822.6548600905,0.36050822356479717,89500.0,89500.0,87900.0,2291800.0
6,2023-11-09,89500.0,89500.0,87900.0,87900.0,87900.0,2291800,88039.00557707786,0.15814058825694685,87100.0,87500.0,86000.0,1411000.0
7,2023-11-10,87100.0,87500.0,86000.0,86000.0,86000.0,1411000,86623.64800832185,0.7251721026998238,86000.0,86100.0,85400.0,3242786.0
8,2023-11-13,86000.0,86100.0,85400.0,85500.0,85500.0,3242786,85415.35199994568,-0.09900350883546591,86000.0,86500.0,85400.0,1086500.0
9,2023-11-14,86000.0,86500.0,85400.0,86000.0,86000.0,1086500,86057.11276459935,0.06641019139459849,86500.0,87700.0,86500.0,4172800.0
10,2023-11-15,86500.0,87700.0,86500.0,87700.0,87700.0,4172800,87628.30018985005,-0.08175576984030612,87000.0,88000.0,86700.0,1343800.0
11,2023-11-16,87000.0,88000.0,86700.0,88000.0,88000.0,1343800,87841.72616025922,-0.17985663606906946,87800.0,87900.0,85500.0,1693000.0
12,2023-11-17,87800.0,87900.0,85500.0,85600.0,85600.0,1693000,86063.07418734144,0.5409745179222397,85600.0,87000.0,85000.0,1157400.0
13,2023-11-20,85600.0,87000.0,85000.0,86100.0,86100.0,1157400,86783.9431316639,0.79435903793716,86100.0,86700.0,85800.0,1256400.0
14,2023-11-21,86100.0,86700.0,85800.0,86600.0,86600.0,1256400,86478.58076031889,-0.14020697422761227,86300.0,86700.0,85500.0,1071700.0
15,2023-11-22,86300.0,86700.0,85500.0,86700.0,86700.0,1071700,86083.2198998034,-0.7113957326373702,86700.0,86800.0,85500.0,752200.0
16,2023-11-23,86700.0,86800.0,85500.0,85500.0,85500.0,752200,85836.81544108252,0.3939361884006114,85500.0,86000.0,85000.0,793500.0
17,2023-11-24,85500.0,86000.0,85000.0,86000.0,86000.0,793500,85663.03128311195,-0.39182408940470725,86000.0,86000.0,85100.0,548000.0
