,Datetime,Open,High,Low,Close,Volume
0,2023-09-05,89100.0,90700.0,89100.0,90100.0,2013202
1,2023-09-06,90200.0,90200.0,89700.0,90200.0,2057603
2,2023-09-07,90000.0,90800.0,89500.0,89500.0,1958302
3,2023-09-08,89500.0,89500.0,89100.0,89500.0,1381905
4,2023-09-11,89600.0,90000.0,88000.0,88500.0,2592500
5,2023-09-12,89000.0,90000.0,88900.0,89900.0,1612100
6,2023-09-13,90000.0,90000.0,88900.0,89100.0,1675000
7,2023-09-14,89000.0,89500.0,88100.0,89100.0,1552600
8,2023-09-15,88900.0,89800.0,88600.0,89800.0,2235400
9,2023-09-18,89500.0,89700.0,88300.0,88800.0,789102
10,2023-09-19,88800.0,89200.0,86000.0,88100.0,1210203
11,2023-09-20,88100.0,88400.0,86400.0,88000.0,1057027
12,2023-09-21,88000.0,88000.0,86800.0,87000.0,1359910
13,2023-09-22,86400.0,89500.0,86000.0,89300.0,2679610
14,2023-09-25,89000.0,89500.0,88300.0,89300.0,2303421
15,2023-09-26,89200.0,89400.0,86900.0,87000.0,1663215
16,2023-09-27,87600.0,89000.0,87000.0,87800.0,1368902
17,2023-09-28,87200.0,88300.0,86600.0,88000.0,1065102
18,2023-09-29,88300.0,88300.0,87100.0,87500.0,613316
19,2023-10-02,87100.0,87200.0,86500.0,86500.0,765716
20,2023-10-03,86500.0,86700.0,85800.0,86300.0,1066600
21,2023-10-04,86300.0,86300.0,85300.0,86300.0,922800
22,2023-10-05,86000.0,86000.0,84500.0,84500.0,1014000
23,2023-10-06,84500.0,85400.0,83500.0,85400.0,800900
24,2023-10-09,85400.0,85400.0,84000.0,84600.0,1212100
25,2023-10-10,84600.0,86200.0,84600.0,86100.0,802101
26,2023-10-11,86200.0,86500.0,85700.0,86500.0,815401
27,2023-10-12,86900.0,86900.0,85500.0,86000.0,882100
28,2023-10-13,86000.0,86600.0,85500.0,86600.0,788100
29,2023-10-16,85600.0,86600.0,85600.0,86100.0,551300
30,2023-10-17,86100.0,86500.0,85500.0,85900.0,488400
31,2023-10-18,85500.0,86000.0,85000.0,85900.0,1266400
32,2023-10-19,85500.0,86000.0,84100.0,84500.0,1408600
33,2023-10-20,83500.0,85300.0,82700.0,84800.0,938400
34,2023-10-23,84500.0,84500.0,82500.0,84500.0,1130600
35,2023-10-24,84500.0,86500.0,83900.0,86000.0,994000
36,2023-10-25,85100.0,85800.0,84600.0,85800.0,924100
37,2023-10-26,85000.0,86000.0,83500.0,84500.0,1520300
38,2023-10-27,84600.0,85000.0,83800.0,85000.0,911400
39,2023-10-30,83500.0,86000.0,83500.0,85900.0,618900
40,2023-10-31,85900.0,86900.0,84900.0,86800.0,1438300
41,2023-11-01,86800.0,87800.0,86100.0,87800.0,1550100
42,2023-11-02,88000.0,89000.0,86600.0,89000.0,1114500
43,2023-11-03,89000.0,89400.0,88100.0,88900.0,1157600
44,2023-11-06,88900.0,89800.0,88500.0,89500.0,833800
45,2023-11-07,89000.0,89300.0,88300.0,88300.0,518900
46,2023-11-08,88000.0,89700.0,87900.0,89500.0,1329300
47,2023-11-09,89500.0,89500.0,87900.0,87900.0,2291800
48,2023-11-10,87100.0,87500.0,86000.0,86000.0,1411000
49,2023-11-13,86000.0,86100.0,85400.0,85500.0,3242786
50,2023-11-14,86000.0,86500.0,85400.0,86000.0,1086500
51,2023-11-15,86500.0,87700.0,86500.0,87700.0,4172800
52,2023-11-16,87000.0,88000.0,86700.0,88000.0,1343800
53,2023-11-17,87800.0,87900.0,85500.0,85600.0,1693000
54,2023-11-20,85600.0,87000.0,85000.0,86100.0,1157400
55,2023-11-21,86100.0,86700.0,85800.0,86600.0,1256400
56,2023-11-22,86300.0,86700.0,85500.0,86700.0,1071700
57,2023-11-23,86700.0,86800.0,85500.0,85500.0,752200
58,2023-11-24,85500.0,86000.0,85000.0,86000.0,793500
59,2023-11-27,86000.0,86000.0,85100.0,85800.0,548000
60,2023-11-28,85500.0,85900.0,84800.0,85800.0,926200
61,2023-11-29,85400.0,85900.0,85100.0,85100.0,838100
62,2023-11-30,85100.0,85400.0,84700.0,84700.0,986600
63,2023-12-01,84900.0,85000.0,84100.0,85000.0,788700
64,2023-12-04,85400.0,86200.0,84800.0,86000.0,978100
65,2023-12-05,86000.0,86100.0,84800.0,85400.0,2339861
66,2023-12-06,85300.0,86000.0,85000.0,85900.0,748000
67,2023-12-07,85700.0,86000.0,85000.0,85200.0,2403460
68,2023-12-08,85200.0,85500.0,85000.0,85000.0,1293000
